date	experiment	variable	baseline	result	verdict	ms/step	fwd_ms	bwd_ms	adam_ms	loss_start	loss_end	val_bpb	notes
2026-03-13	baseline-broken	none (all bugs)	-	9.03→9.18@50 (diverging)	BROKEN	1260	-	-	-	9.03	9.18	-	loss hit 11.09 at step 30, headed for NaN
2026-03-13	fix1-zero-logits	ws.logits.fill(0) before sgemm_at	baseline-broken	9.03→9.11@50 (stable)	CRITICAL FIX	1260	-	-	-	9.03	9.11	-	sgemm_at beta=1.0 accumulates across microbatches
2026-03-13	fix2-embed-lr	embed_lr_scale 5.0→1.0	baseline-broken	9.03→10.66@50 (worse)	NO EFFECT alone	1260	-	-	-	9.03	10.66	-	still diverges without logits fix
2026-03-13	fix3-beta2	beta2 0.95→0.999	baseline-broken	9.03→9.17@50 (slow diverge)	NO EFFECT alone	1260	-	-	-	9.03	9.17	-	smoother moments cant compensate for logits bug
2026-03-13	fix4-warmup	warmup 100→1000	baseline-broken	9.03→9.72@50 (delayed spike)	NO EFFECT alone	1260	-	-	-	9.03	9.72	-	lower LR delays but doesnt prevent divergence
2026-03-13	all-fixes-50	logits+embed+beta2+warmup	baseline-broken	9.03→9.01@50 (decreasing)	BEST	1260	-	-	-	9.03	9.01	-	monotonically decreasing, cleanest curve
2026-03-13	fixed-200step	new defaults (source fix)	-	9.01→9.01@200 (flat/stable)	PASS	1538	-	-	-	9.01	9.01	-	still in warmup at step 200 (warmup=1000), no NaN
2026-03-13	old-params-200	old params + source logits fix	-	9.01→4.49@200 (learning fast)	PASS	1538	-	-	-	9.01	4.49	-	logits fix alone prevents NaN even with aggressive params
2026-03-13	convergence-1000	1000 steps, accum=10, new defaults	-	loss 9.01→7.63, val_bpb 13.00→11.70	PASS	1241	-	-	-	9.0143	7.6257	11.6964	T1: FIRST SUCCESSFUL TRAINING RUN. no NaN. val_bpb dropped every checkpoint. 1260s total
2026-03-13	softcap-zero	softcap 15.0→0.0	convergence-1000	-52ms/step (3.4%), identical loss	IMPROVED	1462	-	-	-	9.0136	9.0128	-	T2: maderix uses no softcap. 5.2ms/microbatch saved. same training quality at 20 steps
2026-03-13	profile-per-op	profile_single_layer timing	fixed-200step	per-layer: fwd=7.8ms bwd=13.9ms (×6=130ms)	DONE	144	48	72	22	-	-	-	#1 target: IOSurf staging 40ms (6.8/L×6). #2: dW accum 19ms (3.2/L×6). #3: SiLU 6ms. ffnBwdW13t staging alone=2.4ms/L
-	fused-2layer-fwd	2 transformer layers in 1 ANE program	profile-per-op	-	PLANNED	-	-	-	-	-	-	-	T2: from Espresso. eliminates 3 IOSurface round-trips per pair
2026-03-13	activation-clamp	clamp [-65504,65504] after each layer	convergence-1000	0.15ms overhead (0.0% of step)	FREE WIN	-	-	-	-	-	-	-	T2: from Orion paper. 6×393K floats clamped in 0.15ms. implement as safety net
2026-03-13	ws-vs-fwd-equiv	forward_ws output == forward output	-	delta=0.00e0, idempotent across 2 calls	PASS	-	-	-	-	9.0134	9.0134	-	T3: workspace path now matches allocating path exactly after logits fix
2026-03-13	grad-finite-diff	numerical gradient vs analytical	-	L5.wo passes 2-6% relerr. L0-L4 inflated by DeepNet identity	PASS (partial)	-	-	-	-	-	-	-	T3: wo/w2 zero-init → all layers identity → only L5 testable. L5.wo matches 5%. wq/wk/wv/w1/w2/w3 grads correctly zero (no gradient flows through zero wo/w2). will re-check after a few training steps when weights non-zero
-	int4-classifier	quantized vocab projection	-	-	PLANNED	-	-	-	-	-	-	-	T4: from Espresso. packed nibble matvec, skip full logit buffer
2026-03-13	fp16-direct-copy	pre-stage weights, skip re-staging	profile-per-op	-14.2ms/microbatch (11.9%), 109.9ms amortized	IMPROVED	-	38.1	67.0	-	-	-	-	T2: pre-stage=46.8ms (once), saves 14.2ms/fwd+bwd. amortized over accum=10: 109.9ms vs 119.4ms net
2026-03-13	dynamic-loss-scale	loss_scale 256 vs 65536	convergence-1000	both stable. 65536 learns faster (8.99 vs 9.01@20)	INTERESTING	1238	-	-	-	9.0143	9.0119	-	T4: scale=256 1238ms/step, scale=65536 1343ms/step (+8.5%). 65536 loss=8.9869 vs 256 loss=9.0119. higher scale = more gradient signal but slower
2026-03-13	softcap0-default	softcap default 15→0	convergence-1000	applied to TrainConfig::default()	APPLIED	-	-	-	-	-	-	-	T2: saves 52ms/step. now the default
2026-03-13	prestaged-train	train_step_prestaged integration	fp16-direct-copy	1201→1073ms/step (-128ms, 10.7%)	IMPROVED	1073	-	-	-	9.0128	9.0146	-	T2: pre-stage once per step, skip re-staging in 10 microbatches. 107ms/microbatch. BROKE 110!
2026-03-13	parallel-prestage	thread::scope + pre-alloc transpose bufs	prestaged-train	1073→1054ms/step (-19ms, 1.8%). prestage 37→8ms	IMPROVED	1054	34.9	66.8	23	9.0128	9.0146	-	T2: parallel pre-staging across 6 layers + eliminated 114MB/step alloc churn. fwd+bwd=101.5ms/mb. BROKE 102!
2026-03-13	async-ane-dispatch	thread::scope overlap fwd+bwd ANE	parallel-prestage	per-layer fwd 7.8→6.8ms, bwd 13.9→13.4ms	IMPROVED	-	~36	~69	~18	9.02	9.12	-	T2: 3 overlaps: woFwd weights during sdpaFwd, ffnFused weights during woFwd, sdpaBwd1 staging during wotBwd. -1ms/L fwd, -0.5ms/L bwd. ~9ms/microbatch × 10 = ~90ms/step savings
2026-03-13	vectorize-silu-recip	vvrecf precompute sig before scalar loop	async-ane-dispatch	SiLU 1.0→0.78ms/layer (22% improvement per layer, ~1.3ms/step total)	IMPROVED	138	40	73	23	-	-	-	T3: precompute sig=1/(1+exp(-h1)) via vvrecf before scalar loop, eliminating scalar fdiv from 1M-element hot loop. Applied to all 3 backward fns. Improvement within bench noise (~8ms) but confirmed via profile_single_layer. All tests pass. auto_vectorize_silu_recip.rs protects invariant.
2026-03-13	presig-overlap	pre-compute sigmoid(h1) during ffnBwdW2t async	vectorize-silu-recip	~3.4ms/layer sigmoid chain hidden behind ANE dispatch	IMPROVED	134	38	72	22	-	-	-	T5: moves vsmul+expf+vsadd+recf into existing ffnBwdW2t async block. Sigmoid chain (~0.6ms/layer) now overlaps ANE run instead of running sequentially after it. 138→134ms (~3% faster)
2026-03-13	cache-adam-scalars	pre-create 6 shared Metal scalar bufs in begin_batch()	presig-overlap	448→118 scalar buf allocs/step, adam_ms 23→22ms	IMPROVED	132	37	71	22	-	-	-	T5: 56×8=448 → 6+56×2=118 Metal buffer allocs per Adam step. beta1/beta2/eps/bc1/bc2/grad_scale cached in begin_batch(). ~2ms/step improvement (1.5%, within noise). Consistent across 5 bench runs. All 4 custom tests pass.
2026-03-13	restore-softcap-zero	softcap default 15.0→0.0 (regression fix)	cache-adam-scalars	132→126ms/step (-6ms, -4.5%), identical loss	IMPROVED	126	34	69	22	-	-	-	T2: softcap=0.0 skips vvtanhf on 4M logits (fwd) + tanh derivative loop (bwd). Regression introduced when phase5/auto-opt-alpha branch was created from pre-f085471 base. auto_restore_softcap_zero.rs protects invariant. 4 custom tests pass.
2026-03-13	kvbwd-prestage	move kvBwd staging into qBwd async CPU block	restore-softcap-zero	129ms/step (no improvement, reverted)	NO EFFECT	129	35	69	22	-	-	-	T8: profiler shows qBwd async = 0.86ms (ANE-bound: ANE 0.86ms > CPU 0.69ms). Adding staging (0.4ms) to CPU block exceeds ANE time → CPU-bound → staging overhead cancels staging savings. Step 13 wall +0.23ms × 6 ≈ +1.4ms, step 14 saves 0.4ms × 6 ≈ -2.4ms, but bench shows net 0. Confirmed: step 13 is co-bottleneck; headroom insufficient.
2026-03-14	saxpy-inplace	cblas_saxpy(dy,1.0,dx2) vs vadd+copy_from_slice(dx2_tmp)	restore-softcap-zero	129ms/step (no improvement, reverted)	NO EFFECT	129	35	70	22	-	-	-	T10: bwd unchanged at 69-70ms. cblas_saxpy BLAS dispatch overhead cancels memory savings vs vDSP_vadd+copy_from_slice. Apple M4: vDSP_vadd is highly vectorized; 1.5MB dx2_tmp is L2-resident so copy cost is trivial. Insight: for L2-resident buffers, extra vadd+copy cheaper than BLAS dispatch.
2026-03-14	parallel-stage-w13t	2-thread parallel staging of ffnBwdW13t channels (0..1024 || 1024..2048)	restore-softcap-zero	129-133ms (regression, reverted). stage_ffn_bwd_w13t unchanged at 2.28ms	NO EFFECT	129	35	69	22	-	-	-	T11: thread::scope spawn overhead (~20μs × 60 calls = 1.2ms) + IOSurface cache coherence negates any bandwidth gain. IOSurface writes don't parallelize with 2 CPU threads — memory path appears serialized at IOSurface level. Insight: IOSurface staging is a hard sequential bottleneck; parallelism at CPU level does not help. stage_ffn_bwd_w13t=2.27ms is likely fixed cost of IOSurface channel-interleaved format.
2026-03-14	dwv-presched	move accumulate_dw(dWv) from qBwd async to sdpaBwd2 async	restore-softcap-zero	bwd 69→68ms (-1ms), total 126→~128ms (no improvement). reverted	NO EFFECT	128	36	68	22	-	-	-	T12: dWv sgemm moves to sdpaBwd2 async (earlier window, dv_full available from sdpaBwd1). bwd improves ~1ms but total step unchanged due to fwd noise. Insight: each dWv sgemm takes ~0.29ms (faster than estimated); qBwd CPU block ~0.88ms for 3 sgemm (ANE qBwd ~0.3ms — very CPU-bound but small absolute savings). sdpaBwd2 ANE bound absorbs dWv overlap cleanly. Remaining gap: ffnBwdW13t staging 2.27ms/layer hard wall; need architectural change (fused 2-layer ANE or layout change).
2026-03-14	rmsnorm-fused-add	fuse vdsp::vadd+copy into rmsnorm backward pass-2 inner loop	restore-softcap-zero	128-129ms/step (no improvement). reverted	NO EFFECT	129	35	70	22	-	-	-	T13: eliminated 2 separate vadd+copy_from_slice passes per layer in backward_into (step 6 + steps 15-16). Added backward_channel_first_with_add fusing addend into pass-2. Bench unchanged at 128-129ms. Root cause: 1.5MB dx2 arrays are L2-resident; L2 bandwidth ~600GB/s makes vadd+copy trivially fast (~0.01ms each, not ~0.08ms from DRAM estimate). Insight: L2-resident buffer copies are effectively free on M4 Max. 3 correctness tests passed before revert.
2026-03-14	fuse-qbwd-kvbwd-overlap	overlap kvBwd ANE with qBwd CPU dW scope	restore-softcap-zero	bwd 69→66ms (-3ms, -4.3%), total 126→125ms	IMPROVED	125	36	66	22	-	-	-	T5: moved wkt/wvt transposes to sdpaBwd2 overlap. Pre-staged kvBwd before qBwd scope. Combined qBwd+kvBwd on ANE thread while CPU computes dWq/dWk/dWv. kvBwd ANE time (~0.5ms/layer) now hidden behind CPU dW. auto_fuse_qbwd_kvbwd.rs protects invariant (3 tests).
2026-03-14	vectorize-silu-loop	replace SiLU scalar loop with 7 vDSP ops	fuse-qbwd-kvbwd-overlap	SiLU 0.78→0.90ms/layer (15% slower), total unchanged	NO EFFECT	126	36	66	22	-	-	-	T14: replaced fused single-pass scalar loop (auto-vectorized by LLVM) with 7 separate vDSP calls (vmul/vadd/vsub). Multi-pass approach has 3.5x more memory traffic (84MB vs 24MB over 1M elements). Scalar loop keeps intermediates in registers; vDSP forces memory round-trips per op. Insight: for L2-resident data with fused compute, LLVM auto-vectorization beats explicit vDSP decomposition.
2026-03-14	fwd-rebalance-staging	move ffnFused weight staging from woFwd overlap to sdpaFwd overlap	fuse-qbwd-kvbwd-overlap	fwd 36→34ms (-2ms, -5.6%), total 125→123ms	IMPROVED	123	34	66	21	-	-	-	T14: woFwd overlap was CPU-bound (staging 1.2ms > ANE 0.5ms). sdpaFwd has 2ms ANE headroom, absorbs 1.5ms staging. woFwd now pure ANE (0.28ms). per-layer fwd: ~6.8→6.1ms. auto_fwd_rebalance_staging.rs protects invariant (3 tests).
